"Tonicity Health","tonicityhealthinfo@gmail.com","1","10","user_FJAjHIDBjKN8mChxLXXqmYizVsKuvZO9bYU5S5yC80X","-","+1 727-238-3455","US","office","+17272383455"
"BL Clinics","care@blclinics.com","1","10","user_FJAjHIDBjKN8mChxLXXqmYizVsKuvZO9bYU5S5yC80X","-","+1 727-250-4148","US","office","+17272504148"
"Mirror Image Spa","mirrorimagemedspa@gmail.com","1","10","user_FJAjHIDBjKN8mChxLXXqmYizVsKuvZO9bYU5S5yC80X","-","+1 727-474-2225","US","office","+17274742225"
"Water's Edge Medical Clinic & Spa","+1 727-550-0855","1","10",,"UPDATE ME","+1 727-550-0855","US","office","+17275500855"
"CKO SOMERSET","Jake","1","5",,"UPDATE ME","+1 732-227-1256","US","office","+17322271256"
"CrossFit Rife","Jason Fernandez","1","10","user_FJAjHIDBjKN8mChxLXXqmYizVsKuvZO9bYU5S5yC80X","UPDATE ME","+1 757-390-3373","US","office","+17573903373"
"MAC Day Spa & Hair Studio","+1 770-514-2020","1","10",,"UPDATE ME","+1 770-514-2020","US","office","+17705142020"
"East Cobb Rejuvenation Medspa","+1 770-771-6865","1","10",,"UPDATE ME","+1 770-771-6865","US","office","+17707716865"
"Southside Knockout Training","+1 773-253-9404","1","10","user_FJAjHIDBjKN8mChxLXXqmYizVsKuvZO9bYU5S5yC80X","UPDATE ME","+1 773-253-9404","US","office","+17732539404"
"UT Health East Texas Olympic Center Hideaway Lake","+1 903-596-3627","1","10",,"UPDATE ME","+1 903-596-3627","US","office","+19035963627"
"HealthCARE Express Urgent Care - Texarkana, TX","+1 903-791-9355","1","10",,"UPDATE ME","+1 903-791-9355","US","office","+19037919355"
"Eluma Laser","eluma@elumalaser.com","1","10","user_FJAjHIDBjKN8mChxLXXqmYizVsKuvZO9bYU5S5yC80X","-","+1 904-619-7078","US","office","+19046197078"
"Queens Muay Thai","+1 905-458-7364","1","10",,"UPDATE ME","+1 905-458-7364","CA","office","+19054587364"
"Top Dawgs Fitness","+1 905-734-3294","1","10","user_FJAjHIDBjKN8mChxLXXqmYizVsKuvZO9bYU5S5yC80X","UPDATE ME","+1 905-734-3294","CA","office","+19057343294"
"TuffStuff Fitness International","Cammie Grider","1","10","user_FJAjHIDBjKN8mChxLXXqmYizVsKuvZO9bYU5S5yC80X","1 - Possibly Qualified","+1 909-629-1600","US","other","+19096291600"
"Team ROC","+1 910-487-8326","1","10","user_FJAjHIDBjKN8mChxLXXqmYizVsKuvZO9bYU5S5yC80X","UPDATE ME","+1 910-487-8326","US","office","+19104878326"
"Destiny Fitness of Perry","+1 912-384-1781","1","10","user_FJAjHIDBjKN8mChxLXXqmYizVsKuvZO9bYU5S5yC80X","UPDATE ME","+1 912-384-1781","US","office","+19123841781"
"Rejuvenate Skincare and Laser","+1 916-929-1833","1","10",,"UPDATE ME","+1 916-929-1833","US","office","+19169291833"
"Utica Park Clinic - Catoosa","+1 918-579-3627","1","10",,"UPDATE ME","+1 918-579-3627","US","office","+19185793627"
"Kolf Sports Center","+1 920-424-1234","1","10","user_FJAjHIDBjKN8mChxLXXqmYizVsKuvZO9bYU5S5yC80X","UPDATE ME","+1 920-424-1234","US","office","+19204241234"
