Cabinet Insert Name,Cabinet Category,Cabinet Sub-Type,SKU,Price,Fits Cabinet Width,Min Opening Width,Min Opening Height,Product Width,Product Height,Product Depth
"Base Cabinet Rollout Drawer Kit - 15""",Cabinet Organizer,Kitchen Cabinet Organizers,RD15,78.4,15.0in,12.0in,N/A,10.1in,4.0in,21.0in
"Base Cabinet Rollout Drawer Kit - 18""",Cabinet Organizer,Kitchen Cabinet Organizers,RD18,84,18.0in,15.0in,N/A,13.1in,4.0in,21.0in
"Base Cabinet Rollout Drawer Kit - 21""",Cabinet Organizer,Kitchen Cabinet Organizers,RD21,89.6,21.0in,18.0in,N/A,16.1in,4.0in,21.0in
"Base Cabinet Rollout Drawer Kit - 24""",Cabinet Organizer,Kitchen Cabinet Organizers,RD24,98,24.0in,21.0in,N/A,19.1in,4.0in,21.0in
"Base Cabinet Rollout Drawer Kit - 27""",Cabinet Organizer,Kitchen Cabinet Organizers,RD27,106.4,27.0in,24.0in,N/A,22.1in,4.0in,21.0in
"Base Cabinet Rollout Drawer Kit - 30""",Cabinet Organizer,Kitchen Cabinet Organizers,RD30,117.6,30.0in,27.0in,N/A,25.1in,4.0in,21.0in
"Base Cabinet Rollout Drawer Kit - 33""",Cabinet Organizer,Kitchen Cabinet Organizers,RD33,126,33.0in,30.0in,N/A,28.1in,4.0in,21.0in
"Base Cabinet Rollout Drawer Kit - 36""",Cabinet Organizer,Kitchen Cabinet Organizers,RD36,134.4,36.0in,33.0in,N/A,31.1in,4.0in,21.0in
"Pull-Out Trash Can Kit - 15""",Cabinet Organizer,Pull-Out Trash Cans,TC15,450,15.0in,12.0in,20.4in,N/A,N/A,N/A
"Pull-Out Trash Can Kit - 18""",Cabinet Organizer,Pull-Out Trash Cans,TC18,540,18.0in,15.0in,20.4in,N/A,N/A,N/A
"Pull-Out Trash Can Kit - 21""",Cabinet Organizer,Pull-Out Trash Cans,TC21,630,21.0in,18.0in,20.4in,N/A,N/A,N/A
35 Quart Replacement Trash Bin,Cabinet Organizer,Pull-Out Trash Cans,TR BIN,75,N/A,N/A,N/A,9.0in,18.0in,14.3in
Tip-Out Tray Kit - Sink Base,Cabinet Organizer,Kitchen Cabinet Organizers,TOA,188,N/A,N/A,N/A,11.7in,3.0in,1.6in
"Lazy Susan Turntable Shelf Kit - 33""",Cabinet Organizer,Kitchen Cabinet Organizers,LSTRAY33,190,33.0in,N/A,N/A,25.8in,3.0in,25.8in
"Lazy Susan Turntable Shelf Kit - 36""",Cabinet Organizer,Kitchen Cabinet Organizers,LSTRAY36,220,36.0in,N/A,N/A,28.2in,3.0in,28.2in
"Pull-Out Pot & Pan Organizer - 24""",Cabinet Organizer,Kitchen Cabinet Organizers,ROCWD-WD,721,24.0in,21.0in,N/A,19.1in,19.1in,22.4in
In-Drawer Knife Organizer 19-Slot,Cabinet Organizer,Kitchen Cabinet Organizers,KO18,134,18.0in,N/A,N/A,16.2in,2.4in,19.5in
Spice Drawer Organizer Insert,Cabinet Organizer,Kitchen Cabinet Organizers,SPO,115,N/A,N/A,N/A,22.2in,0.8in,19.5in
"2-Tier Silverware Drawer Replacement - 21""",Cabinet Organizer,Kitchen Cabinet Organizers,CD21,398,21.0in,18.0in,5.0in,17.5in,4.2in,21.0in
"2-Tier Coffee Pod Organizer Drawer - 24""",Cabinet Organizer,Kitchen Cabinet Organizers,KNCD21,299,24.0in,21.0in,N/A,20.5in,4.2in,21.0in
Adjustable Dish Drawer Peg Organizer,Cabinet Organizer,Kitchen Cabinet Organizers,PEG-12,161,N/A,N/A,N/A,30.2in,6.6in,21.2in
Vertical Pan Organizer - Single Rack,Cabinet Organizer,Kitchen Cabinet Organizers,WTD,180,N/A,12.0in,N/A,11.8in,16.0in,22.2in
"Adjustable Cutlery Drawer Insert - 18""",Cabinet Organizer,Kitchen Cabinet Organizers,ACDI-B18,76,18.0in,N/A,N/A,N/A,N/A,N/A
Deep Drawer Adjustable Organizer 9-Divider,Cabinet Organizer,Kitchen Cabinet Organizers,ADDDI24-36,220,36.0in,N/A,N/A,31.2in,6.0in,19.5in
