Base SKU,Shopify Store Product Handle,Title,Description,Cabinet Category,Cabinet Sub-Type,Product Weight (lbs),Price,Cost per item,Image Product Image URL,Cabinet Face Frame Type,Cabinet Doors Ct,Cabinet Drawer Ct,Cabinet False Drawer Ct,Cabinet Line,Cabinet Shelf Ct,Cabinet Trash Bin Ct,10x10 Kitchen Package,Cabinet Back Panel Details,Cabinet Bumper Details,Cabinet Door Details,Cabinet Door Hinge Details,Cabinet Door Hinge Ct,Cabinet Drawer Box Details,Cabinet Drawer Slide Details,Cabinet Face Frame Details,Cabinet Finish Details,Cabinet Interior Details,Cabinet Shelf Details,Cabinet Side Panel Details,Cabinet Assembly Video URL,BLUM Hardware Drawer Slides Upgrade Available,BLUM Hardware Drawer Slides Price,BLUM Cabinet Hinge Upgrade Available,BLUM Cabinet Hinge Upgrade Price,Cabinet Finish,Depth,Height,Width
BB-DB24-2,belmont-blue-2-drawer-base-24-34-5-24,Belmont Blue 2-Drawer Base - 24w 34½h 24d,"Simplify storage with the Belmont Blue Contemporary Shaker Double-Drawer Base, 24″W x 34½″H x 24″D. Two equal-height deep drawers provide substantial capacity for pots, pans, or bulky items. The symmetrical design creates clean visual lines while maximizing drawer depth. Each drawer handles heavy loads with full-extension slides rated for durability. Ideal choice when fewer, larger drawers better suit your storage needs.",Base Cabinet,Drawer Base Kitchen Cabinets,,,,https://cdn.shopify.com/s/files/1/0628/5167/8286/files/DB24-2-belmont-shaker-drawer-base-cabinet-2-drawer-24w-dimension-drawing.jpg,Full Overlay,,,,Belmont,,,,"3/4"" Thick Plywood Back Panel",Doors and drawers come pre-drilled with securely installed rubber bumpers that stay in place and won't fall out over time.,,,,"5/8” Solid Wood, Dovetail Construction",21in Soft-close Under Mount Drawer Slide,"1½""Wide by 3/4"" Thick Hardwood Face Frame","19-step process preps, paints and stains; Oven-dried for a flawless, durable finish",UV Coated Hand Stained Natural Plywood,,"5/8"" Thick Premium Grade Plywood. Outside is painted or stained to match your face frame finish. (FREE add-on comparable to $100+ option at our competition)",https://cdn.shopify.com/videos/c/o/v/f8399fc5b37545c1abe3a333f2aaa5f0.mp4,,48.00 USD,,,blue,24.0in,34.5in,24.0in
BB-DB30-2,belmont-blue-2-drawer-base-30-34-5-24,Belmont Blue 2-Drawer Base - 30w 34½h 24d,"Enhance your storage capabilities with the Belmont Blue Contemporary Shaker 30″ Two-Drawer Base Cabinet. At 30″W x 34½″H x 24″D, this cabinet combines two spacious drawers for frequently used items. The premium soft-close mechanism provides quiet, controlled closure while the full-extension slides offer complete drawer access. Ideal for creating an organized, functional workspace in any kitchen design.",Base Cabinet,Drawer Base Kitchen Cabinets,,,,https://cdn.shopify.com/s/files/1/0628/5167/8286/files/DB30-2-belmont-shaker-drawer-base-cabinet-2-drawer-30w-dimension-drawing.jpg,Full Overlay,,,,Belmont,,,,"3/4"" Thick Plywood Back Panel",Doors and drawers come pre-drilled with securely installed rubber bumpers that stay in place and won't fall out over time.,,,,"5/8” Solid Wood, Dovetail Construction",21in Soft-close Under Mount Drawer Slide,"1½""Wide by 3/4"" Thick Hardwood Face Frame","19-step process preps, paints and stains; Oven-dried for a flawless, durable finish",UV Coated Hand Stained Natural Plywood,,"5/8"" Thick Premium Grade Plywood. Outside is painted or stained to match your face frame finish. (FREE add-on comparable to $100+ option at our competition)",https://cdn.shopify.com/videos/c/o/v/f8399fc5b37545c1abe3a333f2aaa5f0.mp4,,48.00 USD,,,blue,24.0in,34.5in,30.0in
BB-DB12,belmont-blue-3-drawer-base-12-34-5-24,Belmont Blue 3-Drawer Base - 12w 34½h 24d,"Revolutionize drawer storage with the Belmont Blue Contemporary Shaker Three-Drawer Base, 12″W x 34½″H x 24″D. Graduated drawer system features small top drawer for utensils, two equal medium drawers for organized storage. Full-extension slides on all drawers ensure complete access to contents. Narrow width perfect for maximizing drawer functionality in tight spaces. Superior organization compared to door cabinets of similar size.",Base Cabinet,Drawer Base Kitchen Cabinets,,,,https://cdn.shopify.com/s/files/1/0628/5167/8286/files/DB12-belmont-shaker-drawer-base-cabinet-3-drawer-12w-dimension-drawing.jpg,Full Overlay,,,,Belmont,,,,"3/4"" Thick Plywood Back Panel",Doors and drawers come pre-drilled with securely installed rubber bumpers that stay in place and won't fall out over time.,,,,"5/8” Solid Wood, Dovetail Construction",21in Soft-close Under Mount Drawer Slide,"1½""Wide by 3/4"" Thick Hardwood Face Frame","19-step process preps, paints and stains; Oven-dried for a flawless, durable finish",UV Coated Hand Stained Natural Plywood,,"5/8"" Thick Premium Grade Plywood. Outside is painted or stained to match your face frame finish. (FREE add-on comparable to $100+ option at our competition)",https://cdn.shopify.com/videos/c/o/v/f8399fc5b37545c1abe3a333f2aaa5f0.mp4,,72.00 USD,,,blue,24.0in,34.5in,12.0in
BB-DB15,belmont-blue-3-drawer-base-15-34-5-24,Belmont Blue 3-Drawer Base - 15w 34½h 24d,"Drawer organization perfected with the Belmont Blue Contemporary Shaker Three-Drawer Base, 15″W x 34½″H x 24″D. Triple drawer system with graduated sizes maximizes storage efficiency. Top drawer for cutlery, middle drawers for tools and linens respectively. The 15″ width provides substantial drawer storage in compact footprint. Superior alternative to door cabinets for organized accessibility.",Base Cabinet,Drawer Base Kitchen Cabinets,,,,https://cdn.shopify.com/s/files/1/0628/5167/8286/files/DB15-belmont-shaker-drawer-base-cabinet-3-drawer-15w-dimension-drawing.jpg,Full Overlay,,,,Belmont,,,,"3/4"" Thick Plywood Back Panel",Doors and drawers come pre-drilled with securely installed rubber bumpers that stay in place and won't fall out over time.,,,,"5/8” Solid Wood, Dovetail Construction",21in Soft-close Under Mount Drawer Slide,"1½""Wide by 3/4"" Thick Hardwood Face Frame","19-step process preps, paints and stains; Oven-dried for a flawless, durable finish",UV Coated Hand Stained Natural Plywood,,"5/8"" Thick Premium Grade Plywood. Outside is painted or stained to match your face frame finish. (FREE add-on comparable to $100+ option at our competition)",https://cdn.shopify.com/videos/c/o/v/f8399fc5b37545c1abe3a333f2aaa5f0.mp4,,72.00 USD,,,blue,24.0in,34.5in,15.0in
BB-DB18,belmont-blue-3-drawer-base-18-34-5-24,Belmont Blue 3-Drawer Base - 18w 34½h 24d,"Optimal drawer storage with the Belmont Blue Contemporary Shaker Three-Drawer Base, 18″W x 34½″H x 24″D. Balanced width provides generous drawer capacity without overwhelming space. Graduated drawer heights accommodate different item categories efficiently. Full-extension slides ensure complete access to all drawer contents. Versatile storage solution for kitchens prioritizing drawer organization.",Base Cabinet,Drawer Base Kitchen Cabinets,,,,https://cdn.shopify.com/s/files/1/0628/5167/8286/files/DB18-belmont-shaker-drawer-base-cabinet-3-drawer-18w-dimension-drawing.jpg,Full Overlay,,,,Belmont,,,,"3/4"" Thick Plywood Back Panel",Doors and drawers come pre-drilled with securely installed rubber bumpers that stay in place and won't fall out over time.,,,,"5/8” Solid Wood, Dovetail Construction",21in Soft-close Under Mount Drawer Slide,"1½""Wide by 3/4"" Thick Hardwood Face Frame","19-step process preps, paints and stains; Oven-dried for a flawless, durable finish",UV Coated Hand Stained Natural Plywood,,"5/8"" Thick Premium Grade Plywood. Outside is painted or stained to match your face frame finish. (FREE add-on comparable to $100+ option at our competition)",https://cdn.shopify.com/videos/c/o/v/f8399fc5b37545c1abe3a333f2aaa5f0.mp4,,72.00 USD,,,blue,24.0in,34.5in,18.0in
BB-DB21,belmont-blue-3-drawer-base-21-34-5-24,Belmont Blue 3-Drawer Base - 21w 34½h 24d,"Wide drawer excellence with the Belmont Blue Contemporary Shaker Three-Drawer Base, 21″W x 34½″H x 24″D. Increased width provides roomier drawers for larger item storage. Graduated heights accommodate everything from silverware to serving pieces. The 21″ dimension offers generous capacity while maintaining drawer smoothness. Perfect balance of drawer storage and cabinet proportions.",Base Cabinet,Drawer Base Kitchen Cabinets,,,,https://cdn.shopify.com/s/files/1/0628/5167/8286/files/DB21-belmont-shaker-drawer-base-cabinet-3-drawer-21w-dimension-drawing.jpg,Full Overlay,,,,Belmont,,,,"3/4"" Thick Plywood Back Panel",Doors and drawers come pre-drilled with securely installed rubber bumpers that stay in place and won't fall out over time.,,,,"5/8” Solid Wood, Dovetail Construction",21in Soft-close Under Mount Drawer Slide,"1½""Wide by 3/4"" Thick Hardwood Face Frame","19-step process preps, paints and stains; Oven-dried for a flawless, durable finish",UV Coated Hand Stained Natural Plywood,,"5/8"" Thick Premium Grade Plywood. Outside is painted or stained to match your face frame finish. (FREE add-on comparable to $100+ option at our competition)",https://cdn.shopify.com/videos/c/o/v/f8399fc5b37545c1abe3a333f2aaa5f0.mp4,,72.00 USD,,,blue,24.0in,34.5in,21.0in
BB-DB24,belmont-blue-3-drawer-base-24-34-5-24,Belmont Blue 3-Drawer Base - 24w 34½h 24d,"Standard drawer perfection with the Belmont Blue Contemporary Shaker Three-Drawer Base, 24″W x 34½″H x 24″D. Classic configuration provides ideal drawer storage at popular width. Top drawer for essentials, two deeper drawers for larger items. The 24″ width ensures smooth operation even with heavy loads. Cornerstone of organized kitchen storage systems.",Base Cabinet,Drawer Base Kitchen Cabinets,,,,https://cdn.shopify.com/s/files/1/0628/5167/8286/files/DB24-belmont-shaker-drawer-base-cabinet-3-drawer-24w-dimension-drawing.jpg,Full Overlay,,,,Belmont,,,,"3/4"" Thick Plywood Back Panel",Doors and drawers come pre-drilled with securely installed rubber bumpers that stay in place and won't fall out over time.,,,,"5/8” Solid Wood, Dovetail Construction",21in Soft-close Under Mount Drawer Slide,"1½""Wide by 3/4"" Thick Hardwood Face Frame","19-step process preps, paints and stains; Oven-dried for a flawless, durable finish",UV Coated Hand Stained Natural Plywood,,"5/8"" Thick Premium Grade Plywood. Outside is painted or stained to match your face frame finish. (FREE add-on comparable to $100+ option at our competition)",https://cdn.shopify.com/videos/c/o/v/f8399fc5b37545c1abe3a333f2aaa5f0.mp4,,72.00 USD,,,blue,24.0in,34.5in,24.0in
BB-DB27,belmont-blue-3-drawer-base-27-34-5-24,Belmont Blue 3-Drawer Base - 27w 34½h 24d,"Enhanced drawer capacity with the Belmont Blue Contemporary Shaker Three-Drawer Base, 27″W x 34½″H x 24″D. Wider drawers accommodate larger cookware and serving pieces comfortably. Graduated drawer system maximizes storage efficiency at each level. The 27″ width provides extra capacity without overwhelming kitchen proportions. Ideal for households requiring substantial drawer storage.",Base Cabinet,Drawer Base Kitchen Cabinets,,,,https://cdn.shopify.com/s/files/1/0628/5167/8286/files/DB27-belmont-shaker-drawer-base-cabinet-3-drawer-27w-dimension-drawing.jpg,Full Overlay,,,,Belmont,,,,"3/4"" Thick Plywood Back Panel",Doors and drawers come pre-drilled with securely installed rubber bumpers that stay in place and won't fall out over time.,,,,"5/8” Solid Wood, Dovetail Construction",21in Soft-close Under Mount Drawer Slide,"1½""Wide by 3/4"" Thick Hardwood Face Frame","19-step process preps, paints and stains; Oven-dried for a flawless, durable finish",UV Coated Hand Stained Natural Plywood,,"5/8"" Thick Premium Grade Plywood. Outside is painted or stained to match your face frame finish. (FREE add-on comparable to $100+ option at our competition)",https://cdn.shopify.com/videos/c/o/v/f8399fc5b37545c1abe3a333f2aaa5f0.mp4,,72.00 USD,,,blue,24.0in,34.5in,27.0in
BB-DB30,belmont-blue-3-drawer-base-30-34-5-24,Belmont Blue 3-Drawer Base - 30w 34½h 24d,"Maximize drawer storage with the Belmont Blue Contemporary Shaker 30″ Three-Drawer Base Cabinet. Measuring 30″W x 34½″H x 24″D, this versatile unit provides organized storage through three graduated drawers. The full-extension soft-close drawer slides ensure smooth operation while maximizing accessibility to stored items. Perfect for kitchens requiring efficient drawer organization without sacrificing style.",Base Cabinet,Drawer Base Kitchen Cabinets,,,,https://cdn.shopify.com/s/files/1/0628/5167/8286/files/DB30-belmont-shaker-drawer-base-cabinet-3-drawer-30w-dimension-drawing.jpg,Full Overlay,,,,Belmont,,,,"3/4"" Thick Plywood Back Panel",Doors and drawers come pre-drilled with securely installed rubber bumpers that stay in place and won't fall out over time.,,,,"5/8” Solid Wood, Dovetail Construction",21in Soft-close Under Mount Drawer Slide,"1½""Wide by 3/4"" Thick Hardwood Face Frame","19-step process preps, paints and stains; Oven-dried for a flawless, durable finish",UV Coated Hand Stained Natural Plywood,,"5/8"" Thick Premium Grade Plywood. Outside is painted or stained to match your face frame finish. (FREE add-on comparable to $100+ option at our competition)",https://cdn.shopify.com/videos/c/o/v/f8399fc5b37545c1abe3a333f2aaa5f0.mp4,,72.00 USD,,,blue,24.0in,34.5in,30.0in
BB-DB33,belmont-blue-3-drawer-base-33-34-5-24,Belmont Blue 3-Drawer Base - 33w 34½h 24d,"Optimize corner spaces with the Belmont Blue Contemporary Shaker 33″ Three-Drawer Base Cabinet. This 33″W x 34½″H x 24″D solution transforms transitional areas into valuable storage with three full-extension drawers. Each drawer features soft-close technology for smooth, quiet operation. The wider format accommodates larger items while maintaining the clean lines of your kitchen design.",Base Cabinet,Drawer Base Kitchen Cabinets,,,,https://cdn.shopify.com/s/files/1/0628/5167/8286/files/DB33-belmont-shaker-drawer-base-cabinet-3-drawer-33w-dimension-drawing.jpg,Full Overlay,,,,Belmont,,,,"3/4"" Thick Plywood Back Panel",Doors and drawers come pre-drilled with securely installed rubber bumpers that stay in place and won't fall out over time.,,,,"5/8” Solid Wood, Dovetail Construction",21in Soft-close Under Mount Drawer Slide,"1½""Wide by 3/4"" Thick Hardwood Face Frame","19-step process preps, paints and stains; Oven-dried for a flawless, durable finish",UV Coated Hand Stained Natural Plywood,,"5/8"" Thick Premium Grade Plywood. Outside is painted or stained to match your face frame finish. (FREE add-on comparable to $100+ option at our competition)",https://cdn.shopify.com/videos/c/o/v/f8399fc5b37545c1abe3a333f2aaa5f0.mp4,,72.00 USD,,,blue,24.0in,34.5in,33.0in
