Modification Name,Cabinet Category,Cabinet Sub-Type,SKU,Net Price
Cut Base Top Drawer Cabinet Height,Base Cabinet,Base Kitchen Cabinets,Cut-Base Top Drawer,200
Cut Drawer Base Cabinet Height,Base Cabinet,Drawer Base Kitchen Cabinets,Cut-DBase,250
Cut Sink Base Cabinet Height,Base Cabinet,Sink Base Cabinets,Cut-SBase,200
Cut Toe Kick,Base Cabinet,Base Kitchen Cabinets,Cut-TK,200
Remove Drawer Create False Front,Base Cabinet,Drawer Base Kitchen Cabinets,Remove Drawer Create False Front,50
Peninsula Base Cabinet,Base Cabinet,Base Kitchen Cabinets,Pen-Base,200
Invert Base Cabinet,Base Cabinet,Base Kitchen Cabinets,Invert-Base,200
Increase Base Cabinet Depth,Base Cabinet,Base Kitchen Cabinets,Increase-Base,200
Custom Color Base Cabinet,Base Cabinet,Base Kitchen Cabinets,Custom Color-Base,350
Custom Color Drawer Base Cabinet,Base Cabinet,Drawer Base Kitchen Cabinets,Custom Color-Dbase,400
Cut Wall Cabinet Depth,Wall Cabinet,Wall Kitchen Cabinets,Cut-Wall,150
Peninsula Wall Cabinet,Wall Cabinet,Wall Kitchen Cabinets,Pen-Wall,150
Increase Wall Cabinet Depth,Wall Cabinet,Wall Kitchen Cabinets,Increase-Wall,150
Custom Color Wall Cabinet,Wall Cabinet,Wall Kitchen Cabinets,Custom Color Wall,300
Match Interior Cabinet,Wall Cabinet,Wall Kitchen Cabinets,Match-Interior,150
Cut Pantry Toe Kick,Tall Cabinet,Pantries,Cut-Pantry TK,300
Increase Pantry Depth,Tall Cabinet,Pantries,Increase-Pantry,300
Cut Pantry Cabinet Depth,Tall Cabinet,Pantries,Cut-Pantry,300
