Cabinet Name,Cabinet Category,Cabinet Sub-Type,SKU,Price,Doors,Drawers,Shelves,Width,Height,Depth
Seaport Driftwood 2-Drawer Base - 24w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SD-DB24-2-ASM,889,0,2,0,24.0in,34.5in,24.0in
Seaport Driftwood 2-Drawer Base - 30w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SD-DB30-2-ASM,949,0,2,0,30.0in,34.5in,24.0in
Seaport Driftwood 3-Drawer Base - 12w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SD-DB12-ASM,680,0,3,0,12.0in,34.5in,24.0in
Seaport Driftwood 3-Drawer Base - 15w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SD-DB15-ASM,732,0,3,0,15.0in,34.5in,24.0in
Seaport Driftwood 3-Drawer Base - 18w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SD-DB18-ASM,801,0,3,0,18.0in,34.5in,24.0in
Seaport Driftwood 3-Drawer Base - 21w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SD-DB21-ASM,915,0,3,0,21.0in,34.5in,24.0in
Seaport Driftwood 3-Drawer Base - 24w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SD-DB24-ASM,945,0,3,0,24.0in,34.5in,24.0in
Seaport Driftwood 3-Drawer Base - 27w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SD-DB27-ASM,973,0,3,0,27.0in,34.5in,24.0in
Seaport Driftwood 3-Drawer Base - 30w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SD-DB30-ASM,1005,0,3,0,30.0in,34.5in,24.0in
Seaport Driftwood 3-Drawer Base - 33w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SD-DB33-ASM,1060,0,3,0,33.0in,34.5in,24.0in
Seaport Driftwood 3-Drawer Base - 36w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SD-DB36-ASM,1122,0,3,0,36.0in,34.5in,24.0in
Seaport Driftwood 3-Drawer Vanity - 12w 34½h 21d,Vanity,Vanity Bases,SD-VDB1221-ASM,633,0,3,0,12.0in,34.5in,21.0in
Seaport Driftwood 3-Drawer Vanity - 15w 34½h 21d,Vanity,Vanity Bases,SD-VDB1521-ASM,688,0,3,0,15.0in,34.5in,21.0in
Seaport Driftwood 3-Drawer Vanity - 18w 34½h 21d,Vanity,Vanity Bases,SD-VDB1821-ASM,738,0,3,0,18.0in,34.5in,21.0in
Seaport Driftwood 4-Drawer Base - 15w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SD-DB15-4-ASM,1300,0,4,0,15.0in,34.5in,24.0in
Seaport Driftwood 4-Drawer Base - 18w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SD-DB18-4-ASM,1385,0,4,0,18.0in,34.5in,24.0in
Seaport Driftwood 4-Drawer Base - 21w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SD-DB21-4-ASM,1575,0,4,0,21.0in,34.5in,24.0in
Seaport Driftwood Base Cabinet - 12w 34½h 24d,Base Cabinet,Base Kitchen Cabinets,SD-B12-ASM,422,1,1,0,12.0in,34.5in,24.0in
Seaport Driftwood Base Cabinet - 15w 34½h 24d,Base Cabinet,Base Kitchen Cabinets,SD-B15-ASM,456,1,1,0,15.0in,34.5in,24.0in
Seaport Driftwood Base Cabinet - 18w 34½h 24d,Base Cabinet,Base Kitchen Cabinets,SD-B18-ASM,486,1,1,0,18.0in,34.5in,24.0in
Seaport Driftwood Base Cabinet - 21w 34½h 24d,Base Cabinet,Base Kitchen Cabinets,SD-B21-ASM,519,1,1,0,21.0in,34.5in,24.0in
