Cabinet Name,Cabinet Category,Cabinet Sub-Type,SKU,Price,Doors,Drawers,Shelves,Width,Height,Depth
Seaport Driftwood 2-Drawer Base - 24w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SD-DB24-2-RTA,864,0,2,0,24.0in,34.5in,24.0in
Seaport Driftwood 2-Drawer Base - 30w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SD-DB30-2-RTA,924,0,2,0,30.0in,34.5in,24.0in
Seaport Driftwood 3-Drawer Base - 12w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SD-DB12-RTA,655,0,3,0,12.0in,34.5in,24.0in
Seaport Driftwood 3-Drawer Base - 15w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SD-DB15-RTA,707,0,3,0,15.0in,34.5in,24.0in
Seaport Driftwood 3-Drawer Base - 18w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SD-DB18-RTA,776,0,3,0,18.0in,34.5in,24.0in
Seaport Driftwood 3-Drawer Base - 21w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SD-DB21-RTA,890,0,3,0,21.0in,34.5in,24.0in
Seaport Driftwood 3-Drawer Base - 24w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SD-DB24-RTA,920,0,3,0,24.0in,34.5in,24.0in
Seaport Driftwood 3-Drawer Base - 27w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SD-DB27-RTA,948,0,3,0,27.0in,34.5in,24.0in
Seaport Driftwood 3-Drawer Base - 30w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SD-DB30-RTA,980,0,3,0,30.0in,34.5in,24.0in
Seaport Driftwood 3-Drawer Base - 33w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SD-DB33-RTA,1035,0,3,0,33.0in,34.5in,24.0in
Seaport Driftwood 3-Drawer Base - 36w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SD-DB36-RTA,1097,0,3,0,36.0in,34.5in,24.0in
Seaport Driftwood 3-Drawer Vanity - 12w 34½h 21d,Vanity,Vanity Bases,SD-VDB1221-RTA,608,0,3,0,12.0in,34.5in,21.0in
Seaport Driftwood 3-Drawer Vanity - 15w 34½h 21d,Vanity,Vanity Bases,SD-VDB1521-RTA,663,0,3,0,15.0in,34.5in,21.0in
Seaport Driftwood 3-Drawer Vanity - 18w 34½h 21d,Vanity,Vanity Bases,SD-VDB1821-RTA,713,0,3,0,18.0in,34.5in,21.0in
