Cabinet Name,Cabinet Category,Cabinet Sub-Type,SKU,Price,Doors,Drawers,Shelves,Width,Height,Depth
Seaport Light Gray 2-Drawer Base - 24w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SLG-DB24-2-ASM,719,0,2,0,24.0in,34.5in,24.0in
Seaport Light Gray 2-Drawer Base - 30w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SLG-DB30-2-ASM,882,0,2,0,30.0in,34.5in,24.0in
Seaport Light Gray 3-Drawer Base - 12w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SLG-DB12-ASM,546,0,3,0,12.0in,34.5in,24.0in
Seaport Light Gray 3-Drawer Base - 15w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SLG-DB15-ASM,605,0,3,0,15.0in,34.5in,24.0in
Seaport Light Gray 3-Drawer Base - 18w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SLG-DB18-ASM,627,0,3,0,18.0in,34.5in,24.0in
Seaport Light Gray 3-Drawer Base - 21w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SLG-DB21-ASM,669,0,3,0,21.0in,34.5in,24.0in
Seaport Light Gray 3-Drawer Base - 24w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SLG-DB24-ASM,719,0,3,0,24.0in,34.5in,24.0in
Seaport Light Gray 3-Drawer Base - 27w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SLG-DB27-ASM,792,0,3,0,27.0in,34.5in,24.0in
Seaport Light Gray 3-Drawer Base - 30w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SLG-DB30-ASM,840,0,3,0,30.0in,34.5in,24.0in
Seaport Light Gray 3-Drawer Base - 33w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SLG-DB33-ASM,885,0,3,0,33.0in,34.5in,24.0in
Seaport Light Gray 3-Drawer Base - 36w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SLG-DB36-ASM,929,0,3,0,36.0in,34.5in,24.0in
Seaport Light Gray 3-Drawer Vanity - 12w 34½h 21d,Vanity,Vanity Bases,SLG-VDB1221-ASM,577,0,3,0,12.0in,34.5in,21.0in
Seaport Light Gray 3-Drawer Vanity - 15w 34½h 21d,Vanity,Vanity Bases,SLG-VDB1521-ASM,627,0,3,0,15.0in,34.5in,21.0in
Seaport Light Gray 3-Drawer Vanity - 18w 34½h 21d,Vanity,Vanity Bases,SLG-VDB1821-ASM,672,0,3,0,18.0in,34.5in,21.0in
Seaport Light Gray 4-Drawer Base - 15w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SLG-DB15-4-ASM,1216,0,4,0,15.0in,34.5in,24.0in
Seaport Light Gray 4-Drawer Base - 18w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SLG-DB18-4-ASM,1316,0,4,0,18.0in,34.5in,24.0in
Seaport Light Gray 4-Drawer Base - 21w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SLG-DB21-4-ASM,1503,0,4,0,21.0in,34.5in,24.0in
Seaport Light Gray ADA 3-Drawer Base - 15w 32½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SLG-ADA-DB15-ASM,820,0,3,0,15.0in,32.5in,24.0in
Seaport Light Gray ADA 3-Drawer Base - 24w 32½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SLG-ADA-DB24-ASM,918,0,3,0,24.0in,32.5in,24.0in
Seaport Light Gray ADA 3-Drawer Vanity - 15w 32½h 21d,Vanity,Vanity Bases,SLG-ADA-VDB15-ASM,787,0,3,0,15.0in,32.5in,21.0in
Seaport Light Gray ADA Base Cabinet - 12w 32½h 24d,Base Cabinet,Base Kitchen Cabinets,SLG-ADA-B12-ASM,473,1,1,1,12.0in,32.5in,24.0in
Seaport Light Gray ADA Base Cabinet - 15w 32½h 24d,Base Cabinet,Base Kitchen Cabinets,SLG-ADA-B15-ASM,518,1,1,1,15.0in,32.5in,24.0in
Seaport Light Gray ADA Base Cabinet - 18w 32½h 24d,Base Cabinet,Base Kitchen Cabinets,SLG-ADA-B18-ASM,565,1,1,1,18.0in,32.5in,24.0in
Seaport Light Gray ADA Double Base - 24w 32½h 24d,Base Cabinet,Base Kitchen Cabinets,SLG-ADA-B24-ASM,672,2,1,1,24.0in,32.5in,24.0in
Seaport Light Gray ADA Double Base - 30w 32½h 24d,Base Cabinet,Base Kitchen Cabinets,SLG-ADA-B30-ASM,770,2,1,1,30.0in,32.5in,24.0in
Seaport Light Gray ADA Lazy Susan Corner - 36w 32½h 24d,Base Cabinet,Corner Kitchen Cabinets,SLG-ADA-LSB36-ASM,943,1,0,0,36.0in,32.5in,24.0in
Seaport Light Gray ADA Sink Base - 30w 32½h 24d,Base Cabinet,Sink Base Cabinets,SLG-ADA-SB30-ASM,599,2,0,0,30.0in,32.5in,24.0in
Seaport Light Gray ADA Vanity Sink Base - 30w 32½h 21d,Vanity,Vanity Bases,SLG-ADA-VSB30-ASM,686,2,0,0,30.0in,32.5in,21.0in
Seaport Light Gray ADA Wide Base - 36w 32½h 24d,Base Cabinet,Base Kitchen Cabinets,SLG-ADA-B36-ASM,843,2,1,1,36.0in,32.5in,24.0in
Seaport Light Gray ADA Wide Sink Base - 36w 32½h 24d,Base Cabinet,Sink Base Cabinets,SLG-ADA-SB36-ASM,683,2,0,0,36.0in,32.5in,24.0in
Seaport Light Gray Base Cabinet - 12w 34½h 24d,Base Cabinet,Base Kitchen Cabinets,SLG-B12-ASM,342,1,1,0,12.0in,34.5in,24.0in
Seaport Light Gray Base Cabinet - 15w 34½h 24d,Base Cabinet,Base Kitchen Cabinets,SLG-B15-ASM,370,1,1,0,15.0in,34.5in,24.0in
Seaport Light Gray Base Cabinet - 18w 34½h 24d,Base Cabinet,Base Kitchen Cabinets,SLG-B18-ASM,400,1,1,0,18.0in,34.5in,24.0in
Seaport Light Gray Base Cabinet - 21w 34½h 24d,Base Cabinet,Base Kitchen Cabinets,SLG-B21-ASM,429,1,1,0,21.0in,34.5in,24.0in
Seaport Light Gray Base Cabinet - 9w 34½h 24d,Base Cabinet,Base Kitchen Cabinets,SLG-BF0924-ASM,266,1,0,1,9.0in,34.5in,24.0in
Seaport Light Gray Bench Seat Base - 24w 16⅞h 24d,Base Cabinet,Storage Benches,SLG-DBS24-ASM,605,0,1,0,24.0in,16.875in,24.0in
Seaport Light Gray Bench Seat Base - 30w 16⅞h 24d,Base Cabinet,Storage Benches,SLG-DBS30-ASM,691,0,1,0,30.0in,16.875in,24.0in
Seaport Light Gray Bench Seat Base - 36w 16⅞h 24d,Base Cabinet,Storage Benches,SLG-DBS36-ASM,778,0,1,0,36.0in,16.875in,24.0in
Seaport Light Gray Blind Corner Base - 33w 34½h 24d,Base Cabinet,Corner Kitchen Cabinets,SLG-BBC39/42-ASM,593,1,1,1,33.0in,34.5in,24.0in
Seaport Light Gray Blind Corner Wall - 24w 30h 12d,Wall Cabinet,Corner Kitchen Cabinets,SLG-WBC2430-ASM,378,1,0,2,24.0in,30.0in,12.0in
