Cabinet Name,Cabinet Category,Cabinet Sub-Type,SKU,Price,Doors,Drawers,Shelves,Width,Height,Depth
Seaport Light Gray 2-Drawer Base - 24w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SLG-DB24-2-RTA,694,0,2,0,24.0in,34.5in,24.0in
Seaport Light Gray 2-Drawer Base - 30w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SLG-DB30-2-RTA,857,0,2,0,30.0in,34.5in,24.0in
Seaport Light Gray 3-Drawer Base - 12w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SLG-DB12-RTA,521,0,3,0,12.0in,34.5in,24.0in
Seaport Light Gray 3-Drawer Base - 15w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SLG-DB15-RTA,580,0,3,0,15.0in,34.5in,24.0in
Seaport Light Gray 3-Drawer Base - 18w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SLG-DB18-RTA,602,0,3,0,18.0in,34.5in,24.0in
Seaport Light Gray 3-Drawer Base - 21w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SLG-DB21-RTA,644,0,3,0,21.0in,34.5in,24.0in
Seaport Light Gray 3-Drawer Base - 24w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SLG-DB24-RTA,694,0,3,0,24.0in,34.5in,24.0in
Seaport Light Gray 3-Drawer Base - 27w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SLG-DB27-RTA,767,0,3,0,27.0in,34.5in,24.0in
Seaport Light Gray 3-Drawer Base - 30w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SLG-DB30-RTA,815,0,3,0,30.0in,34.5in,24.0in
Seaport Light Gray 3-Drawer Base - 33w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SLG-DB33-RTA,860,0,3,0,33.0in,34.5in,24.0in
Seaport Light Gray 3-Drawer Base - 36w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SLG-DB36-RTA,904,0,3,0,36.0in,34.5in,24.0in
Seaport Light Gray 3-Drawer Vanity - 12w 34½h 21d,Vanity,Vanity Bases,SLG-VDB1221-RTA,552,0,3,0,12.0in,34.5in,21.0in
Seaport Light Gray 3-Drawer Vanity - 15w 34½h 21d,Vanity,Vanity Bases,SLG-VDB1521-RTA,602,0,3,0,15.0in,34.5in,21.0in
Seaport Light Gray 3-Drawer Vanity - 18w 34½h 21d,Vanity,Vanity Bases,SLG-VDB1821-RTA,647,0,3,0,18.0in,34.5in,21.0in
Seaport Light Gray 4-Drawer Base - 15w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SLG-DB15-4-RTA,1191,0,4,0,15.0in,34.5in,24.0in
Seaport Light Gray 4-Drawer Base - 18w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SLG-DB18-4-RTA,1291,0,4,0,18.0in,34.5in,24.0in
Seaport Light Gray 4-Drawer Base - 21w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SLG-DB21-4-RTA,1478,0,4,0,21.0in,34.5in,24.0in
Seaport Light Gray ADA 3-Drawer Base - 15w 32½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SLG-ADA-DB15-RTA,795,0,3,0,15.0in,32.5in,24.0in
Seaport Light Gray ADA 3-Drawer Base - 24w 32½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SLG-ADA-DB24-RTA,893,0,3,0,24.0in,32.5in,24.0in
Seaport Light Gray ADA 3-Drawer Vanity - 15w 32½h 21d,Vanity,Vanity Bases,SLG-ADA-VDB15-RTA,762,0,3,0,15.0in,32.5in,21.0in
Seaport Light Gray ADA Base Cabinet - 12w 32½h 24d,Base Cabinet,Base Kitchen Cabinets,SLG-ADA-B12-RTA,448,1,1,1,12.0in,32.5in,24.0in
Seaport Light Gray ADA Base Cabinet - 15w 32½h 24d,Base Cabinet,Base Kitchen Cabinets,SLG-ADA-B15-RTA,493,1,1,1,15.0in,32.5in,24.0in
Seaport Light Gray ADA Base Cabinet - 18w 32½h 24d,Base Cabinet,Base Kitchen Cabinets,SLG-ADA-B18-RTA,540,1,1,1,18.0in,32.5in,24.0in
Seaport Light Gray ADA Double Base - 24w 32½h 24d,Base Cabinet,Base Kitchen Cabinets,SLG-ADA-B24-RTA,647,2,1,1,24.0in,32.5in,24.0in
Seaport Light Gray ADA Double Base - 30w 32½h 24d,Base Cabinet,Base Kitchen Cabinets,SLG-ADA-B30-RTA,745,2,1,1,30.0in,32.5in,24.0in
Seaport Light Gray ADA Lazy Susan Corner - 36w 32½h 24d,Base Cabinet,Corner Kitchen Cabinets,SLG-ADA-LSB36-RTA,918,1,0,0,36.0in,32.5in,24.0in
Seaport Light Gray ADA Sink Base - 30w 32½h 24d,Base Cabinet,Sink Base Cabinets,SLG-ADA-SB30-RTA,574,2,0,0,30.0in,32.5in,24.0in
Seaport Light Gray ADA Vanity Sink Base - 30w 32½h 21d,Vanity,Vanity Bases,SLG-ADA-VSB30-RTA,661,2,0,0,30.0in,32.5in,21.0in
Seaport Light Gray ADA Wide Base - 36w 32½h 24d,Base Cabinet,Base Kitchen Cabinets,SLG-ADA-B36-RTA,818,2,1,1,36.0in,32.5in,24.0in
Seaport Light Gray ADA Wide Sink Base - 36w 32½h 24d,Base Cabinet,Sink Base Cabinets,SLG-ADA-SB36-RTA,658,2,0,0,36.0in,32.5in,24.0in
Seaport Light Gray Base Cabinet - 12w 34½h 24d,Base Cabinet,Base Kitchen Cabinets,SLG-B12-RTA,317,1,1,0,12.0in,34.5in,24.0in
Seaport Light Gray Base Cabinet - 15w 34½h 24d,Base Cabinet,Base Kitchen Cabinets,SLG-B15-RTA,345,1,1,0,15.0in,34.5in,24.0in
Seaport Light Gray Base Cabinet - 18w 34½h 24d,Base Cabinet,Base Kitchen Cabinets,SLG-B18-RTA,375,1,1,0,18.0in,34.5in,24.0in
Seaport Light Gray Base Cabinet - 21w 34½h 24d,Base Cabinet,Base Kitchen Cabinets,SLG-B21-RTA,404,1,1,0,21.0in,34.5in,24.0in
Seaport Light Gray Base Cabinet - 9w 34½h 24d,Base Cabinet,Base Kitchen Cabinets,SLG-BF0924-RTA,241,1,0,1,9.0in,34.5in,24.0in
Seaport Light Gray Bench Seat Base - 24w 16⅞h 24d,Base Cabinet,Storage Benches,SLG-DBS24-RTA,580,0,1,0,24.0in,16.875in,24.0in
Seaport Light Gray Bench Seat Base - 30w 16⅞h 24d,Base Cabinet,Storage Benches,SLG-DBS30-RTA,666,0,1,0,30.0in,16.875in,24.0in
Seaport Light Gray Bench Seat Base - 36w 16⅞h 24d,Base Cabinet,Storage Benches,SLG-DBS36-RTA,753,0,1,0,36.0in,16.875in,24.0in
Seaport Light Gray Blind Corner Base - 33w 34½h 24d,Base Cabinet,Corner Kitchen Cabinets,SLG-BBC39/42-RTA,568,1,1,1,33.0in,34.5in,24.0in
Seaport Light Gray Blind Corner Wall - 24w 30h 12d,Wall Cabinet,Corner Kitchen Cabinets,SLG-WBC2430-RTA,353,1,0,2,24.0in,30.0in,12.0in
Seaport Light Gray Blind Corner Wall - 24w 36h 12d,Wall Cabinet,Corner Kitchen Cabinets,SLG-WBC2436-RTA,462,1,0,2,24.0in,36.0in,12.0in
Seaport Light Gray Blind Corner Wall - 24w 42h 12d,Wall Cabinet,Corner Kitchen Cabinets,SLG-WBC2442-RTA,549,1,0,2,24.0in,42.0in,12.0in
Seaport Light Gray Bridge Cabinet - 30w 12h 12d,Wall Cabinet,Wall Kitchen Cabinets,SLG-W3012-RTA,204,2,0,0,30.0in,12.0in,12.0in
Seaport Light Gray Bridge Cabinet - 33w 12h 12d,Wall Cabinet,Wall Kitchen Cabinets,SLG-W3312-RTA,218,2,0,0,33.0in,12.0in,12.0in
Seaport Light Gray Bridge Cabinet - 36w 12h 12d,Wall Cabinet,Wall Kitchen Cabinets,SLG-W3612-RTA,232,2,0,0,36.0in,12.0in,12.0in
