Cabinet Name,Cabinet Category,Cabinet Sub-Type,SKU,Price,Doors,Drawers,Shelves,Width,Height,Depth
Seaport Natural 2-Drawer Base - 24w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SN-DB24-2-ASM,889,0,2,0,24.0in,34.5in,24.0in
Seaport Natural 2-Drawer Base - 30w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SN-DB30-2-ASM,949,0,2,0,30.0in,34.5in,24.0in
Seaport Natural 3-Drawer Base - 12w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SN-DB12-ASM,680,0,3,0,12.0in,34.5in,24.0in
Seaport Natural 3-Drawer Base - 15w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SN-DB15-ASM,732,0,3,0,15.0in,34.5in,24.0in
Seaport Natural 3-Drawer Base - 18w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SN-DB18-ASM,801,0,3,0,18.0in,34.5in,24.0in
Seaport Natural 3-Drawer Base - 21w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SN-DB21-ASM,915,0,3,0,21.0in,34.5in,24.0in
Seaport Natural 3-Drawer Base - 24w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SN-DB24-ASM,945,0,3,0,24.0in,34.5in,24.0in
Seaport Natural 3-Drawer Base - 27w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SN-DB27-ASM,973,0,3,0,27.0in,34.5in,24.0in
Seaport Natural 3-Drawer Base - 30w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SN-DB30-ASM,1005,0,3,0,30.0in,34.5in,24.0in
Seaport Natural 3-Drawer Base - 33w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SN-DB33-ASM,1060,0,3,0,33.0in,34.5in,24.0in
Seaport Natural 3-Drawer Base - 36w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SN-DB36-ASM,1122,0,3,0,36.0in,34.5in,24.0in
Seaport Natural 3-Drawer Vanity - 12w 34½h 21d,Vanity,Vanity Bases,SN-VDB1221-ASM,633,0,3,0,12.0in,34.5in,21.0in
Seaport Natural 3-Drawer Vanity - 15w 34½h 21d,Vanity,Vanity Bases,SN-VDB1521-ASM,688,0,3,0,15.0in,34.5in,21.0in
Seaport Natural 3-Drawer Vanity - 18w 34½h 21d,Vanity,Vanity Bases,SN-VDB1821-ASM,738,0,3,0,18.0in,34.5in,21.0in
Seaport Natural 4-Drawer Base - 15w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SN-DB15-4-ASM,1300,0,4,0,15.0in,34.5in,24.0in
Seaport Natural 4-Drawer Base - 18w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SN-DB18-4-ASM,1385,0,4,0,18.0in,34.5in,24.0in
Seaport Natural 4-Drawer Base - 21w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SN-DB21-4-ASM,1575,0,4,0,21.0in,34.5in,24.0in
Seaport Natural Base Cabinet - 12w 34½h 24d,Base Cabinet,Base Kitchen Cabinets,SN-B12-ASM,422,1,1,0,12.0in,34.5in,24.0in
Seaport Natural Base Cabinet - 15w 34½h 24d,Base Cabinet,Base Kitchen Cabinets,SN-B15-ASM,456,1,1,0,15.0in,34.5in,24.0in
Seaport Natural Base Cabinet - 18w 34½h 24d,Base Cabinet,Base Kitchen Cabinets,SN-B18-ASM,486,1,1,0,18.0in,34.5in,24.0in
Seaport Natural Base Cabinet - 21w 34½h 24d,Base Cabinet,Base Kitchen Cabinets,SN-B21-ASM,519,1,1,0,21.0in,34.5in,24.0in
Seaport Natural Base Cabinet - 9w 34½h 24d,Base Cabinet,Base Kitchen Cabinets,SN-BF0924-ASM,339,1,0,1,9.0in,34.5in,24.0in
Seaport Natural Bench Seat Base - 24w 16⅞h 24d,Base Cabinet,Storage Benches,SN-DBS24-ASM,663,0,1,0,24.0in,16.875in,24.0in
Seaport Natural Bench Seat Base - 30w 16⅞h 24d,Base Cabinet,Storage Benches,SN-DBS30-ASM,758,0,1,0,30.0in,16.875in,24.0in
Seaport Natural Bench Seat Base - 36w 16⅞h 24d,Base Cabinet,Storage Benches,SN-DBS36-ASM,853,0,1,0,36.0in,16.875in,24.0in
Seaport Natural Blind Corner Base - 33w 34½h 24d,Base Cabinet,Corner Kitchen Cabinets,SN-BBC39/42-ASM,658,1,1,1,33.0in,34.5in,24.0in
Seaport Natural Blind Corner Wall - 24w 30h 12d,Wall Cabinet,Corner Kitchen Cabinets,SN-WBC2430-ASM,438,1,0,2,24.0in,30.0in,12.0in
Seaport Natural Blind Corner Wall - 24w 36h 12d,Wall Cabinet,Corner Kitchen Cabinets,SN-WBC2436-ASM,488,1,0,2,24.0in,36.0in,12.0in
Seaport Natural Blind Corner Wall - 24w 42h 12d,Wall Cabinet,Corner Kitchen Cabinets,SN-WBC2442-ASM,630,1,0,2,24.0in,42.0in,12.0in
Seaport Natural Bridge Cabinet - 30w 12h 12d,Wall Cabinet,Wall Kitchen Cabinets,SN-W3012-ASM,320,2,0,0,30.0in,12.0in,12.0in
Seaport Natural Bridge Cabinet - 33w 12h 12d,Wall Cabinet,Wall Kitchen Cabinets,SN-W3312-ASM,362,2,0,0,33.0in,12.0in,12.0in
Seaport Natural Bridge Cabinet - 36w 12h 12d,Wall Cabinet,Wall Kitchen Cabinets,SN-W3612-ASM,336,2,0,0,36.0in,12.0in,12.0in
Seaport Natural Deep Bridge Cabinet - 33w 12h 24d,Wall Cabinet,Wall Kitchen Cabinets,SN-W331224-ASM,429,2,0,0,33.0in,12.0in,24.0in
Seaport Natural Deep Bridge Cabinet - 36w 12h 24d,Wall Cabinet,Wall Kitchen Cabinets,SN-W361224-ASM,448,2,0,0,36.0in,12.0in,24.0in
Seaport Natural Deep Mid-Height Wall - 30w 18h 24d,Wall Cabinet,Wall Kitchen Cabinets,SN-W301824-ASM,473,2,0,0,30.0in,18.0in,24.0in
Seaport Natural Deep Mid-Height Wall - 33w 18h 24d,Wall Cabinet,Wall Kitchen Cabinets,SN-W331824-ASM,503,2,0,0,33.0in,18.0in,24.0in
Seaport Natural Deep Mid-Height Wall - 36w 18h 24d,Wall Cabinet,Wall Kitchen Cabinets,SN-W361824-ASM,476,2,0,0,36.0in,18.0in,24.0in
Seaport Natural Deep Wall Cabinet - 30w 15h 24d,Wall Cabinet,Wall Kitchen Cabinets,SN-W301524-ASM,454,2,0,0,30.0in,15.0in,24.0in
Seaport Natural Deep Wall Cabinet - 30w 24h 24d,Wall Cabinet,Wall Kitchen Cabinets,SN-W302424-ASM,569,2,0,1,30.0in,24.0in,24.0in
Seaport Natural Deep Wall Cabinet - 33w 15h 24d,Wall Cabinet,Wall Kitchen Cabinets,SN-W331524-ASM,519,2,0,0,33.0in,15.0in,24.0in
Seaport Natural Deep Wall Cabinet - 33w 24h 24d,Wall Cabinet,Wall Kitchen Cabinets,SN-W332424-ASM,560,2,0,1,33.0in,24.0in,24.0in
Seaport Natural Deep Wall Cabinet - 36w 15h 24d,Wall Cabinet,Wall Kitchen Cabinets,SN-W361524-ASM,562,2,0,0,36.0in,15.0in,24.0in
Seaport Natural Deep Wall Cabinet - 36w 24h 24d,Wall Cabinet,Wall Kitchen Cabinets,SN-W362424-ASM,598,2,0,1,36.0in,24.0in,24.0in
Seaport Natural Diagonal Corner Base - 24w 34½h 24d,Base Cabinet,Base Kitchen Cabinets,SN-BEC24-ASM,825,2,0,1,24.0in,34.5in,24.0in
Seaport Natural Diagonal Corner Sink Base - 18w 34½h 24d,Base Cabinet,Corner Kitchen Cabinets,SN-DSB36-ASM,891,1,0,1,18.0in,34.5in,24.0in
Seaport Natural Diagonal Corner Wall - 18w 30h 24d,Wall Cabinet,Corner Kitchen Cabinets,SN-WDC2430-ASM,541,1,0,2,18.0in,30.0in,24.0in
Seaport Natural Diagonal Corner Wall - 18w 36h 24d,Wall Cabinet,Corner Kitchen Cabinets,SN-WDC2436-ASM,640,1,0,2,18.0in,36.0in,24.0in
Seaport Natural Diagonal Corner Wall - 18w 42h 24d,Wall Cabinet,Corner Kitchen Cabinets,SN-WDC2442-ASM,689,1,0,3,18.0in,42.0in,24.0in
Seaport Natural Diagonal Corner Wall Cabinet with Glass Door - 18w 30h 24d,Wall Cabinet,Glass-Front Kitchen Cabinets,SN-PGDWDC2430-ASM,940,1,0,2,18.0in,30.0in,24.0in
Seaport Natural Diagonal Corner Wall Cabinet with Glass Door - 18w 36h 24d,Wall Cabinet,Glass-Front Kitchen Cabinets,SN-PGDWDC2436-ASM,1024,1,0,2,18.0in,36.0in,24.0in
Seaport Natural Diagonal Corner Wall Cabinet with Glass Door - 18w 42h 24d,Wall Cabinet,Glass-Front Kitchen Cabinets,SN-PGDWDC2442-ASM,1097,1,0,3,18.0in,42.0in,24.0in
Seaport Natural Diagonal Corner Wall Cabinet with Glass Door - 24w 15h 24d,Wall Cabinet,Glass-Front Kitchen Cabinets,SN-PGDWDC2415-ASM,1002,1,0,0,24.0in,15.0in,24.0in
