Cabinet Name,Cabinet Category,Cabinet Sub-Type,SKU,Price,Doors,Drawers,Shelves,Width,Height,Depth
Seaport White 2-Drawer Base - 24w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SW-DB24-2-ASM,719,0,2,0,24.0in,34.5in,24.0in
Seaport White 2-Drawer Base - 30w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SW-DB30-2-ASM,882,0,2,0,30.0in,34.5in,24.0in
Seaport White 3-Drawer Base - 12w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SW-DB12-ASM,546,0,3,0,12.0in,34.5in,24.0in
Seaport White 3-Drawer Base - 15w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SW-DB15-ASM,605,0,3,0,15.0in,34.5in,24.0in
Seaport White 3-Drawer Base - 18w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SW-DB18-ASM,627,0,3,0,18.0in,34.5in,24.0in
Seaport White 3-Drawer Base - 21w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SW-DB21-ASM,669,0,3,0,21.0in,34.5in,24.0in
Seaport White 3-Drawer Base - 24w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SW-DB24-ASM,719,0,3,0,24.0in,34.5in,24.0in
Seaport White 3-Drawer Base - 27w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SW-DB27-ASM,792,0,3,0,27.0in,34.5in,24.0in
Seaport White 3-Drawer Base - 30w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SW-DB30-ASM,840,0,3,0,30.0in,34.5in,24.0in
Seaport White 3-Drawer Base - 33w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SW-DB33-ASM,885,0,3,0,33.0in,34.5in,24.0in
Seaport White 3-Drawer Base - 36w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SW-DB36-ASM,929,0,3,0,36.0in,34.5in,24.0in
Seaport White 3-Drawer Vanity - 12w 34½h 21d,Vanity,Vanity Bases,SW-VDB1221-ASM,577,0,3,0,12.0in,34.5in,21.0in
Seaport White 3-Drawer Vanity - 15w 34½h 21d,Vanity,Vanity Bases,SW-VDB1521-ASM,627,0,3,0,15.0in,34.5in,21.0in
Seaport White 3-Drawer Vanity - 18w 34½h 21d,Vanity,Vanity Bases,SW-VDB1821-ASM,672,0,3,0,18.0in,34.5in,21.0in
Seaport White 4-Drawer Base - 15w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SW-DB15-4-ASM,1216,0,4,0,15.0in,34.5in,24.0in
Seaport White 4-Drawer Base - 18w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SW-DB18-4-ASM,1316,0,4,0,18.0in,34.5in,24.0in
Seaport White 4-Drawer Base - 21w 34½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SW-DB21-4-ASM,1503,0,4,0,21.0in,34.5in,24.0in
Seaport White ADA 3-Drawer Base - 15w 32½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SW-ADA-DB15-ASM,820,0,3,0,15.0in,32.5in,24.0in
Seaport White ADA 3-Drawer Base - 24w 32½h 24d,Base Cabinet,Drawer Base Kitchen Cabinets,SW-ADA-DB24-ASM,918,0,3,0,24.0in,32.5in,24.0in
Seaport White ADA 3-Drawer Vanity - 15w 32½h 21d,Vanity,Vanity Bases,SW-ADA-VDB15-ASM,787,0,3,0,15.0in,32.5in,21.0in
Seaport White ADA Base Cabinet - 12w 32½h 24d,Base Cabinet,Base Kitchen Cabinets,SW-ADA-B12-ASM,473,1,1,1,12.0in,32.5in,24.0in
Seaport White ADA Base Cabinet - 15w 32½h 24d,Base Cabinet,Base Kitchen Cabinets,SW-ADA-B15-ASM,518,1,1,1,15.0in,32.5in,24.0in
Seaport White ADA Base Cabinet - 18w 32½h 24d,Base Cabinet,Base Kitchen Cabinets,SW-ADA-B18-ASM,565,1,1,1,18.0in,32.5in,24.0in
Seaport White ADA Double Base - 24w 32½h 24d,Base Cabinet,Base Kitchen Cabinets,SW-ADA-B24-ASM,672,2,1,1,24.0in,32.5in,24.0in
Seaport White ADA Double Base - 30w 32½h 24d,Base Cabinet,Base Kitchen Cabinets,SW-ADA-B30-ASM,770,2,1,1,30.0in,32.5in,24.0in
Seaport White ADA Lazy Susan Corner - 36w 32½h 24d,Base Cabinet,Corner Kitchen Cabinets,SW-ADA-LSB36-ASM,943,1,0,0,36.0in,32.5in,24.0in
Seaport White ADA Sink Base - 30w 32½h 24d,Base Cabinet,Sink Base Cabinets,SW-ADA-SB30-ASM,599,2,0,0,30.0in,32.5in,24.0in
Seaport White ADA Vanity Sink Base - 30w 32½h 21d,Vanity,Vanity Bases,SW-ADA-VSB30-ASM,686,2,0,0,30.0in,32.5in,21.0in
Seaport White ADA Wide Base - 36w 32½h 24d,Base Cabinet,Base Kitchen Cabinets,SW-ADA-B36-ASM,843,2,1,1,36.0in,32.5in,24.0in
