Cabinet_Name,Cabinet_Category,Cabinet_Sub_Type,SKU,Stock_Price,Doors,Drawers,Shelves,Width,Height,Depth,Phase,Run,Catalog_Page
,Base Cabinet,,B9,417,1,1,1,9,34.5,24,1,1,I2
,Base Cabinet,,B30,719,2,1,1,30,34.5,24,1,1,I2
,Base Cabinet,,B27-1DR,656,1,1,0,27,34.5,24,1,1,I2
,Base Cabinet,,B12,447,1,1,1,12,34.5,24,1,1,I2
,Base Cabinet,,B33,754,2,1,1,33,34.5,24,1,1,I2
,Base Cabinet,,B30-1DR,691,1,1,0,30,34.5,24,1,1,I2
,Base Cabinet,,B15,476,1,1,1,15,34.5,24,1,1,I2
,Base Cabinet,,B36,784,2,1,1,36,34.5,24,1,1,I2
,Base Cabinet,,B33-1DR,726,1,1,0,33,34.5,24,1,1,I2
,Base Cabinet,,B18,487,1,1,1,18,34.5,24,1,1,I2
,Base Cabinet,,B39,819,2,1,1,39,34.5,24,1,1,I2
,Base Cabinet,,B36-1DR,754,1,1,0,36,34.5,24,1,1,I2
,Base Cabinet,,B21,522,1,1,1,21,34.5,24,1,1,I2
,Base Cabinet,,B42,854,2,1,1,42,34.5,24,1,1,I2
,Base Cabinet,,B39-1DR,879,1,1,0,39,34.5,24,1,1,I2
,Base Cabinet,,B24,541,1,1,1,24,34.5,24,1,1,I2
,Base Cabinet,,B45,882,2,1,1,45,34.5,24,1,1,I2
,Base Cabinet,,B42-1DR,914,1,1,0,42,34.5,24,1,1,I2
,Base Cabinet,,B24-2D,738,2,1,1,24,34.5,24,1,1,I2
,Base Cabinet,,B48,893,2,1,1,48,34.5,24,1,1,I2
,Base Cabinet,,B27,685,2,1,1,27,34.5,24,1,1,I2
,Base Cabinet,,SB18,476,1,1,1,18,34.5,24,1,1,I2
,Base Cabinet,,SB33,680,2,1,1,33,34.5,24,1,1,I2
,Base Cabinet,,SB27-1DR,633,1,1,0,27,34.5,24,1,1,I2
,Base Cabinet,,SB21,493,1,1,1,21,34.5,24,1,1,I2
