Cabinet_Name,Cabinet_Category,Cabinet_Sub_Type,SKU,Stock_Price,Doors,Drawers,Shelves,Width,Height,Depth,Phase,Run,Catalog_Page
,Base Cabinet,,B9,417,,,,,,,1,1,I2
,Base Cabinet,,B30,719,,,,,,,1,1,I2
,Base Cabinet,,B27-1DR,656,,,,,,,1,1,I2
,Base Cabinet,,B12,447,,,,,,,1,1,I2
,Base Cabinet,,B33,754,,,,,,,1,1,I2
,Base Cabinet,,B30-1DR,691,,,,,,,1,1,I2
,Base Cabinet,,B15,476,,,,,,,1,1,I2
,Base Cabinet,,B36,784,,,,,,,1,1,I2
,Base Cabinet,,B33-1DR,726,,,,,,,1,1,I2
,Base Cabinet,,B18,487,,,,,,,1,1,I2
,Base Cabinet,,B39,819,,,,,,,1,1,I2
,Base Cabinet,,B36-1DR,754,,,,,,,1,1,I2
,Base Cabinet,,B21,522,,,,,,,1,1,I2
,Base Cabinet,,B42,854,,,,,,,1,1,I2
,Base Cabinet,,B39-1DR,879,,,,,,,1,1,I2
,Base Cabinet,,B24,541,,,,,,,1,1,I2
,Base Cabinet,,B45,882,,,,,,,1,1,I2
,Base Cabinet,,B42-1DR,914,,,,,,,1,1,I2
,Base Cabinet,,B24-2D,738,,,,,,,1,1,I2
,Base Cabinet,,B48,893,,,,,,,1,1,I2
,Base Cabinet,,B27,685,,,,,,,1,1,I2
,Base Cabinet,,SB18,476,,,,,,,1,1,I3
,Base Cabinet,,SB33,680,,,,,,,1,1,I3
,Base Cabinet,,SB27-1DR,633,,,,,,,1,1,I3
,Base Cabinet,,SB21,493,,,,,,,1,1,I3
,Base Cabinet,,SB36,761,,,,,,,1,1,I3
,Base Cabinet,,SB30-1DR,650,,,,,,,1,1,I3
,Base Cabinet,,SB24,506,,,,,,,1,1,I3
,Base Cabinet,,SB39,800,,,,,,,1,1,I3
,Base Cabinet,,SB33-1DR,680,,,,,,,1,1,I3
,Base Cabinet,,SB24-2D,693,,,,,,,1,1,I3
,Base Cabinet,,SB42,843,,,,,,,1,1,I3
,Base Cabinet,,SB36-1DR,761,,,,,,,1,1,I3
,Base Cabinet,,SB27,633,,,,,,,1,1,I3
,Base Cabinet,,SB45,871,,,,,,,1,1,I3
,Base Cabinet,,SB39-1DR,800,,,,,,,1,1,I3
,Base Cabinet,,SB30,650,,,,,,,1,1,I3
,Base Cabinet,,SB48,882,,,,,,,1,1,I3
,Base Cabinet,,SB42-1DR,843,,,,,,,1,1,I3
,Base Cabinet,,SB45-1DR,871,,,,,,,1,1,I3
,Base Cabinet,,SB48-1DR,882,,,,,,,1,1,I3
,Base Cabinet,,SBU33,1699,,,,,,,1,1,I4
,Base Cabinet,,SBU36,1807,,,,,,,1,1,I4
,Base Cabinet,,SBU39,1846,,,,,,,1,1,I4
,Base Cabinet,,SBU33-1DR,1699,,,,,,,1,1,I4
,Base Cabinet,,SBU36-1DR,1807,,,,,,,1,1,I4
,Base Cabinet,,SBU39-1DR,1846,,,,,,,1,1,I4
,Base Cabinet,,SBR24,541,,,,,,,1,1,I5
,Base Cabinet,,SBR36,784,,,,,,,1,1,I5
,Base Cabinet,,SBR27-1DR,656,,,,,,,1,1,I5
,Base Cabinet,,SBR24-2D,738,,,,,,,1,1,I5
,Base Cabinet,,SBR39,819,,,,,,,1,1,I5
,Base Cabinet,,SBR30-1DR,691,,,,,,,1,1,I5
,Base Cabinet,,SBR27,685,,,,,,,1,1,I5
,Base Cabinet,,SBR42,854,,,,,,,1,1,I5
,Base Cabinet,,SBR33-1DR,726,,,,,,,1,1,I5
,Base Cabinet,,SBR30,719,,,,,,,1,1,I5
,Base Cabinet,,SBR45,882,,,,,,,1,1,I5
,Base Cabinet,,SBR36-1DR,754,,,,,,,1,1,I5
,Base Cabinet,,SBR33,754,,,,,,,1,1,I5
,Base Cabinet,,SBR48,893,,,,,,,1,1,I5
,Base Cabinet,,SBR39-1DR,879,,,,,,,1,1,I5
,Base Cabinet,,SBR42-1DR,914,,,,,,,1,1,I5
,Base Cabinet,,SBA30,839,,,,,,,1,1,I6
,Base Cabinet,,SBA33,869,,,,,,,1,1,I6
,Base Cabinet,,SBA36,950,,,,,,,1,1,I6
,Base Cabinet,,SBA39,989,,,,,,,1,1,I6
,Base Cabinet,,SBA42,1032,,,,,,,1,1,I6
,Base Cabinet,,SB18-RT,694,,,,,,,1,1,I7
,Base Cabinet,,SB30-RT,868,,,,,,,1,1,I7
,Base Cabinet,,SB27-RT-1DR,851,,,,,,,1,1,I7
,Base Cabinet,,SB21-RT,711,,,,,,,1,1,I7
,Base Cabinet,,SB33-RT,898,,,,,,,1,1,I7
,Base Cabinet,,SB30-RT-1DR,868,,,,,,,1,1,I7
,Base Cabinet,,SB24-RT,724,,,,,,,1,1,I7
,Base Cabinet,,SB36-RT,979,,,,,,,1,1,I7
,Base Cabinet,,SB33-RT-1DR,898,,,,,,,1,1,I7
,Base Cabinet,,SB24-RT-2D,911,,,,,,,1,1,I7
,Base Cabinet,,SB39-RT,1018,,,,,,,1,1,I7
